"ID","Age","Sex","Violation","Location","Army","PACS","Police"
"sv0017907",25,"F","Ds","urban","No","No","No"
"sv0008247",41,"M","Mu","rural","No","No","No"
"sv0018277",12,"M","Mu","rural","No","No","No"
"sv0009846",25,"M","Mu","rural","No","No","No"
"sv0009166",35,"M","Mu","rural","Yes","No","No"
"sv0010324",55,"M","Se","rural","No","No","No"
"sv0011006",52,"M","Mu","rural","No","No","No"
"sv0003625",18,"M","Mu","rural","Yes","No","No"
"sv0010732",14,"F","Mu","rural","Yes","No","No"
"sv0009248",50,"M","To","rural","Yes","No","No"
"sv0018518",50,"F","Mu","rural","Yes","No","No"
"sv0017566",45,"M","Mu","urban","No","No","No"
"sv0000469",57,"F","Mu","rural","No","No","No"
"sv0001184",65,"M","Mu","urban","No","No","No"
"sv0018335",43,"M","Mu","rural","Yes","No","No"
"sv0006118",65,"M","Mu","rural","No","Yes","No"
"sv0015130",36,"M","Mu","rural","No","No","No"
"sv0010179",50,"M","Mu","rural","Yes","No","No"
"sv0008662",12,"F","Mu","rural","Yes","Yes","No"
"sv0009438",31,"M","Mu","rural","No","No","No"
"sv0003919",27,"M","Se","rural","No","No","No"
"sv0013357",65,"F","Mu","rural","No","No","No"
"sv0006110",42,"M","Ds","urban","No","No","No"
"sv0016200",51,"M","Mu","rural","No","No","No"
"sv0012947",40,"M","Mu","rural","Yes","No","No"
"sv0005649",7,"M","Mu","rural","Yes","No","No"
"sv0006222",23,"M","HR","urban","No","No","No"
"sv0010252",17,"M","Mu","rural","Yes","No","No"
"sv0007798",18,"M","Mu","rural","No","No","No"
"sv0001164",40,"M","Mu","rural","Yes","No","No"
"sv0050152",60,"M","Se","rural","No","No","No"
"sv0013837",14,"M","Mu","urban","No","No","No"
"sv0009508",13,"M","Mu","rural","Yes","No","No"
"sv0050072",18,"F","Mu","rural","No","No","No"
"sv0010144",18,"M","Se","urban","No","No","No"
"sv0015201",52,"M","Se","rural","No","No","No"
"sv0012953",40,"M","Mu","rural","Yes","No","No"
"sv0004024",42,"M","Mu","rural","No","No","No"
"sv0015135",19,"M","Mu","urban","No","No","No"
"sv0006983",24,"M","Se","rural","No","No","No"
"sv0015973",30,"M","Mu","urban","No","No","No"
"sv0005885",28,"M","Ds","rural","No","Yes","No"
"sv0006531",24,"F","Mu","rural","Yes","No","No"
"sv0018573",52,"M","Mu","rural","No","No","No"
"sv0012234",22,"M","Mu","rural","No","No","No"
"sv0000745",45,"M","Mu","rural","Yes","Yes","No"
"sv0048037",26,"M","Mu","rural","No","No","No"
"sv0000714",22,"M","Se","urban","No","No","No"
"sv0012501",44,"M","Mu","rural","No","No","No"
"sv0001323",65,"M","Se","rural","No","No","No"
"sv0006570",31,"M","Mu","rural","No","No","No"
"sv0001119",24,"M","Se","urban","No","No","No"
"sv0011600",50,"M","Mu","rural","Yes","No","No"
"sv0018057",38,"M","Mu","rural","No","No","No"
"sv0014216",4,"M","Mu","rural","Yes","No","No"
"sv0010685",60,"M","Mu","rural","No","No","No"
"sv0003128",10,"F","Ds","urban","No","No","No"
"sv0014965",48,"M","Mu","rural","No","No","No"
"sv0413911",2,"M","Se","urban","No","No","No"
"sv0016125",37,"M","Se","rural","No","No","No"
"sv0012891",46,"M","Mu","rural","No","No","No"
"sv0015826",27,"M","Mu","rural","No","No","No"
"sv0007059",48,"M","Mu","urban","No","No","No"
"sv0018140",23,"M","Mu","rural","No","No","Yes"
"sv0013480",38,"M","Mu","rural","No","No","No"
"sv0015355",26,"M","Mu","rural","Yes","No","No"
"sv0006934",33,"M","Mu","rural","Yes","No","No"
"sv0016430",48,"M","Mu","rural","No","No","No"
"sv0013920",48,"M","Mu","rural","Yes","Yes","No"
"sv0003795",45,"M","Mu","rural","Yes","No","No"
"sv0003755",20,"M","Mu","rural","Yes","No","No"
"sv0005357",15,"M","Ds","urban","No","No","No"
"sv0001315",24,"F","Se","urban","No","No","No"
"sv0006012",20,"M","Ds","urban","No","No","No"
"sv0006655",7,"M","Mu","urban","No","No","No"
"sv0017192",70,"M","Mu","rural","No","No","No"
"sv0006637",76,"M","Mu","rural","No","No","No"
"sv0014821",24,"F","Ds","urban","No","No","No"
"sv0018476",40,"M","Mu","rural","Yes","Yes","No"
"sv0005280",34,"M","Mu","urban","No","No","No"
"sv0005450",18,"M","Mu","rural","No","No","No"
"sv0008656",18,"F","Mu","rural","Yes","No","No"
"sv0018142",60,"M","Mu","rural","Yes","No","Yes"
"sv0001498",20,"M","Mu","urban","No","No","No"
"sv0005638",18,"M","Mu","rural","Yes","No","No"
"sv0014268",19,"F","Mu","rural","No","No","No"
"sv0004248",3,"M","Ds","urban","No","No","No"
"sv0015187",20,"M","Mu","rural","No","Yes","No"
"svv000195",40,"F","Mu","rural","Yes","No","No"
"sv0047529",29,"M","Se","urban","No","No","No"
"sv0004697",30,"F","Mu","rural","No","No","No"
"sv0001960",30,"F","To","rural","Yes","No","No"
"sv0005362",25,"M","To","rural","Yes","No","No"
"sv0006121",28,"M","Mu","rural","No","Yes","No"
"sv0018070",22,"M","DM","rural","No","No","No"
"sv0018267",15,"M","Mu","rural","No","No","No"
"sv0015980",17,"M","Se","urban","No","No","No"
"sv0001546",24,"F","Mu","urban","No","No","No"
"sv0014280",35,"M","Mu","rural","No","No","No"
"sv0013096",19,"M","Se","rural","No","No","No"
"sv0018592",17,"M","Ds","urban","No","No","No"
"sv0020373",42,"M","Mu","rural","No","Yes","No"
"sv0005937",28,"M","Mu","rural","Yes","No","No"
"sv0010565",38,"M","Mu","rural","No","No","No"
"sv0005316",15,"M","Se","rural","Yes","No","No"
"sv0007872",28,"M","Mu","urban","No","No","No"
"sv0014646",16,"F","Mu","rural","Yes","Yes","No"
"sv0009365",37,"M","Mu","rural","No","Yes","No"
"sv0013831",30,"M","DM","rural","No","No","Yes"
"sv0000115",45,"F","Se","rural","No","No","No"
"sv0008975",18,"M","Mu","rural","No","No","No"
"sv0015769",17,"M","Ds","urban","No","No","No"
"sv0418716",1,"M","HR","rural","No","No","No"
"sv0008762",45,"M","Mu","rural","No","Yes","No"
"sv0006052",23,"M","HR","urban","No","No","No"
"sv0017861",43,"M","Mu","rural","No","No","No"
"sv0006405",26,"M","Ds","urban","No","No","No"
"sv0013604",26,"M","Mu","rural","No","No","No"
"sv0017879",27,"M","Mu","rural","No","No","No"
"sv0005757",17,"M","Mu","urban","No","No","No"
"sv0008568",22,"M","Mu","rural","No","No","No"
"sv0010563",30,"M","Mu","rural","No","Yes","No"
"sv0001726",28,"M","Mu","rural","No","No","No"
"sv0013674",32,"M","Mu","rural","Yes","Yes","No"
"sv0013529",30,"M","Mu","urban","No","No","No"
"sv0000465",28,"F","Se","rural","No","No","No"
"sv0422229",25,"F","Se","rural","No","No","No"
"sv0047653",28,"M","Se","rural","No","No","No"
"sv0012203",46,"M","Mu","rural","No","No","No"
"sv0005502",18,"F","Se","rural","No","No","No"
"sv0017856",11,"F","Mu","urban","No","No","No"
"sv0010679",55,"M","Mu","rural","Yes","Yes","No"
"sv0015274",35,"M","Mu","rural","No","No","No"
"sv0005804",41,"M","Mu","urban","No","No","No"
"sv0016139",29,"M","Mu","","No","No","No"
"sv0008198",17,"M","Mu","rural","No","No","No"
"sv0008836",48,"M","Ds","urban","No","No","No"
"sv0010354",10,"M","Ds","urban","No","No","No"
"sv0010657",45,"M","Mu","rural","No","Yes","Yes"
"sv0000239",34,"M","Mu","rural","No","No","No"
"sv0008785",12,"F","Mu","rural","Yes","No","No"
"sv0010022",38,"M","Mu","urban","No","No","Yes"
"sv0013239",60,"M","Mu","rural","Yes","Yes","No"
"sv0009772",20,"F","Mu","rural","No","No","No"
"sv0008385",40,"M","Mu","rural","No","No","No"
"sv0006544",40,"M","Mu","rural","No","No","No"
"sv0015664",20,"M","Mu","rural","No","No","No"
"sv0001776",17,"M","Mu","rural","Yes","Yes","No"
"sv0014245",24,"M","Mu","urban","No","No","No"
"sv0008908",22,"M","Ds","rural","No","No","No"
"sv0003352",60,"F","Mu","rural","No","No","No"
"sv0006798",20,"M","DM","rural","No","No","No"
"sv0425374",28,"M","Se","urban","Yes","No","No"
"sv0007972",34,"M","Mu","urban","No","No","No"
"sv0015153",29,"M","Mu","urban","No","No","No"
"sv0002544",20,"M","To","rural","Yes","Yes","No"
"sv0050188",52,"M","Mu","rural","Yes","No","No"
"sv0010984",27,"M","Mu","rural","No","No","No"
"sv0004340",36,"M","Mu","rural","No","No","No"
"sv0003976",20,"F","Mu","rural","No","Yes","No"
"sv0014186",20,"M","Mu","rural","Yes","No","No"
"sv0009414",19,"F","Ds","urban","No","No","No"
"sv0002618",40,"F","Mu","rural","Yes","No","No"
"sv0002636",32,"M","Mu","rural","Yes","No","No"
"sv0002449",8,"M","HR","rural","No","No","No"
"sv0010589",36,"M","Mu","rural","No","No","No"
"sv0015666",6,"M","Mu","rural","Yes","No","No"
"sv0006858",20,"M","Ds","urban","No","No","No"
"sv0001688",28,"F","HR","urban","No","No","No"
"sv0001469",35,"M","Se","urban","No","No","No"
"sv0009891",20,"M","Se","rural","No","No","No"
"sv0015696",12,"M","Mu","rural","Yes","No","No"
"sv0010968",45,"M","Mu","rural","No","No","No"
"sv0012831",40,"M","Se","rural","No","No","No"
"sv0005639",22,"M","Mu","rural","Yes","No","No"
"sv0001785",26,"M","Mu","rural","No","No","No"
"sv0015082",43,"M","Mu","rural","Yes","No","No"
"sv0013300",28,"M","Se","rural","No","No","No"
"sv0008602",20,"M","Ds","urban","No","No","No"
"sv0015911",32,"F","Ds","urban","No","No","No"
"sv0011735",45,"M","Mu","rural","Yes","No","No"
"sv0009878",40,"M","Mu","rural","Yes","Yes","No"
"sv0014860",43,"M","Mu","rural","No","No","No"
"sv0009652",35,"M","Se","rural","No","No","No"
"sv0007855",23,"M","Mu","urban","No","No","No"
"sv0005724",34,"M","Ds","urban","No","No","No"
"sv0006759",28,"F","Mu","urban","No","No","No"
"sv0001280",23,"M","Se","rural","No","No","No"
"sv0009065",10,"M","Mu","rural","Yes","No","No"
"sv0014692",30,"M","Mu","urban","No","No","No"
"sv0018210",43,"M","Mu","urban","No","No","No"
"sv0007742",45,"M","Mu","rural","No","No","No"
"sv0009540",78,"F","Mu","rural","No","No","No"
"sv0012498",36,"M","Mu","rural","No","No","No"
"sv0011869",28,"M","To","urban","No","No","Yes"
"sv0050056",35,"M","To","rural","No","No","Yes"
"sv0011635",35,"M","Mu","rural","No","No","No"
"sv0010071",35,"M","Mu","rural","No","No","No"
"sv0017899",32,"M","Mu","urban","No","No","No"
"sv0017396",85,"M","Mu","rural","No","Yes","No"
"sv0016144",20,"M","Ds","urban","No","No","No"
"sv0013684",15,"M","Mu","rural","Yes","Yes","No"
"sv0017464",26,"M","Mu","urban","No","No","No"
"sv0413267",25,"F","Mu","urban","No","No","No"
"sv0009568",22,"M","Mu","rural","No","No","No"
"sv0016187",16,"M","Se","urban","No","No","No"
"sv0004150",29,"M","Se","rural","No","No","No"
"sv0010209",38,"M","Se","rural","No","No","No"
"sv0005812",31,"M","To","rural","Yes","No","No"
"sv0002891",35,"M","Mu","rural","No","No","No"
"sv0010899",54,"M","HR","urban","No","No","No"
"sv0424318",70,"M","Mu","rural","No","Yes","No"
"sv0014783",36,"F","Mu","urban","No","No","No"
"sv0000117",20,"M","Mu","rural","Yes","No","No"
"sv0002867",24,"M","Ds","urban","No","No","No"
"sv0008875",40,"M","Mu","rural","Yes","Yes","No"
"sv0008910",39,"M","Se","rural","No","No","No"
"sv0017867",26,"M","Mu","rural","No","No","No"
"sv0008416",20,"M","Se","rural","No","No","No"
"sv0003977",22,"M","Mu","rural","No","No","No"
"sv0013959",19,"F","Mu","rural","Yes","No","No"
"sv0012549",14,"M","Se","urban","No","No","No"
"sv0012893",42,"M","Mu","rural","No","No","No"
"sv0013795",45,"M","Mu","rural","No","No","No"
"sv0015825",15,"M","Ds","urban","No","No","No"
"sv0008024",17,"M","Se","urban","No","No","No"
"sv0018625",59,"M","Mu","urban","No","No","No"
"sv0005414",14,"M","Ds","urban","No","No","No"
"sv0005190",23,"M","Mu","rural","Yes","Yes","No"
"sv0018099",26,"M","Mu","rural","No","No","No"
"sv0009971",16,"M","Mu","rural","No","No","Yes"
"sv0005600",20,"F","Ds","urban","No","No","No"
"sv0004694",22,"M","Mu","rural","No","Yes","No"
"sv0002358",36,"M","Mu","rural","No","No","No"
"sv0009541",44,"M","Ds","urban","No","No","No"
"sv0016309",38,"M","Mu","urban","No","No","No"
"sv0016757",9,"M","Mu","rural","Yes","No","No"
"sv0007275",30,"M","Se","rural","No","No","No"
"sv0017497",19,"M","To","rural","No","Yes","No"
"sv0004561",35,"M","Mu","urban","No","No","No"
"sv0000311",27,"M","Mu","rural","Yes","Yes","No"
"sv0417312",23,"M","Mu","rural","No","No","No"
"sv0000975",45,"M","Mu","rural","No","No","No"
"sv0004772",30,"M","Mu","rural","No","Yes","No"
"sv0000956",15,"M","To","rural","Yes","Yes","No"
"sv0013781",23,"M","Mu","rural","No","No","No"
"sv0005813",38,"M","Se","urban","No","No","No"
"sv0011049",22,"M","Ds","rural","No","No","No"
"sv0016008",26,"F","Mu","rural","No","No","No"
"sv0050186",29,"M","Mu","rural","No","No","No"
"sv0018629",17,"M","Mu","rural","No","No","Yes"
"sv0013644",19,"M","Se","rural","No","Yes","No"
"sv0005800",39,"M","Mu","rural","No","No","No"
"sv0009298",3,"F","Mu","rural","No","No","No"
"sv0002710",49,"M","Se","urban","No","No","No"
"sv0016251",12,"M","Ds","urban","No","No","No"
"sv0014138",9,"M","Mu","rural","Yes","No","No"
"sv0003886",32,"M","Mu","rural","No","No","No"
"sv0425595",31,"M","Mu","rural","No","No","No"
"sv0015271",23,"M","Se","rural","No","No","No"
"sv0002173",4,"M","Mu","rural","Yes","No","No"
"sv0010188",30,"M","Mu","rural","No","No","No"
"sv0000825",18,"M","Mu","rural","No","No","No"
"sv0008863",24,"M","Mu","rural","Yes","Yes","No"
"sv0003935",17,"F","Mu","rural","Yes","No","No"
"sv0008232",61,"M","DM","rural","No","No","No"
"sv0002960",25,"M","Mu","urban","No","No","No"
"sv0003290",19,"M","Se","rural","No","No","No"
"sv0410230",29,"M","Ds","rural","No","No","No"
"sv0017901",44,"M","Mu","rural","Yes","No","No"
"sv0010299",23,"F","To","rural","No","Yes","No"
"sv0016715",21,"M","Mu","urban","No","No","No"
"sv0002277",15,"M","Mu","rural","Yes","No","No"
"sv0008150",20,"M","Mu","rural","No","No","No"
"sv0009195",18,"M","Ds","rural","No","No","No"
"sv0000309",11,"M","To","rural","Yes","Yes","No"
"sv0014484",18,"F","To","rural","Yes","No","No"
"sv0000545",48,"M","To","rural","Yes","No","No"
"sv0001947",17,"M","Mu","rural","Yes","No","No"
"sv0016842",35,"M","Se","rural","No","No","No"
"sv0013658",32,"M","Mu","rural","Yes","No","No"
"sv0005525",30,"M","Mu","rural","No","Yes","No"
"sv0018132",29,"M","Mu","rural","No","No","No"
"sv0018199",16,"M","Ds","rural","No","No","No"
"sv0000346",47,"M","Ds","rural","No","No","No"
"sv0010633",31,"M","Mu","rural","No","No","No"
"sv0013645",30,"M","Mu","rural","Yes","No","No"
"sv0018128",45,"M","Ds","rural","No","No","No"
"sv0009013",11,"F","Se","urban","No","No","No"
"sv0004491",24,"M","Mu","rural","No","No","No"
"sv0004594",20,"M","Se","rural","Yes","No","No"
"sv0001728",27,"M","Se","urban","No","No","No"
"sv0009337",41,"M","Mu","rural","Yes","No","No"
"sv0000289",24,"M","Mu","rural","Yes","No","No"
"sv0014769",40,"F","Mu","rural","Yes","No","No"
"sv0013254",30,"M","Mu","rural","Yes","No","No"
"sv0012000",35,"M","Mu","rural","No","No","No"
"sv0002365",35,"M","Mu","rural","Yes","Yes","No"
"sv0002304",24,"M","Se","rural","No","No","No"
"sv0006475",38,"M","Mu","rural","No","No","No"
"sv0017089",14,"M","Mu","rural","Yes","No","No"
"sv0006328",54,"M","Se","rural","No","No","No"
"sv0007030",35,"M","Mu","rural","No","No","No"
"sv0003564",42,"F","Mu","rural","Yes","No","No"
"sv0005513",24,"M","Ds","rural","No","No","No"
"sv0006022",47,"F","Mu","rural","Yes","No","No"
"sv0002323",19,"M","Mu","urban","No","No","No"
"sv0012256",28,"M","Mu","urban","No","No","Yes"
"sv0014232",80,"M","Mu","rural","No","No","No"
"sv0007080",34,"M","Mu","rural","No","No","No"
"sv0014833",25,"M","Mu","urban","No","No","No"
"sv0007848",40,"M","Se","urban","No","No","No"
"sv0000178",39,"M","Mu","rural","Yes","No","No"
"sv0007027",44,"F","Mu","urban","No","No","No"
"sv0003422",22,"M","Mu","urban","No","No","No"
"sv0011316",70,"M","Mu","rural","No","No","No"
"sv0000215",16,"F","HR","rural","No","No","No"
"sv0015009",46,"M","Se","rural","No","Yes","No"
"sv0006708",52,"M","Mu","rural","No","No","No"
"sv0012709",28,"M","Mu","urban","No","No","No"
"sv0008376",35,"F","Mu","rural","No","No","No"
"sv0016044",44,"M","Mu","urban","No","No","No"
"sv0009501",17,"M","Ds","urban","No","No","No"
"sv0012490",23,"M","Se","urban","No","Yes","No"
"sv0008083",17,"M","Se","urban","No","No","No"
"sv0006733",36,"M","Se","rural","No","No","No"
"sv0014398",26,"M","Se","rural","No","No","No"
"sv0016550",13,"F","Mu","rural","Yes","No","No"
"sv0006000",28,"M","Mu","rural","No","No","Yes"
"sv0000926",46,"M","Se","rural","No","No","No"
"sv0017296",17,"F","Ds","urban","No","No","No"
"sv0001160",38,"M","Mu","urban","No","No","No"
"sv0004194",14,"F","Ds","urban","No","No","No"
"sv0005953",35,"M","Mu","rural","No","No","No"
"sv0010866",58,"M","Ds","rural","No","No","No"
"sv0007073",26,"M","Mu","urban","No","No","No"
"sv0012819",73,"M","DM","urban","No","No","No"
"sv0014853",48,"M","Mu","rural","No","No","No"
"sv0010918",25,"M","Mu","rural","Yes","No","No"
"sv0018146",22,"M","Mu","rural","No","No","No"
"sv0000544",25,"M","Ds","urban","No","No","No"
"sv0008912",36,"M","Se","rural","No","No","No"
"sv0017443",47,"F","Mu","rural","Yes","Yes","No"
"sv0003708",40,"M","Mu","rural","Yes","No","No"
"sv0018141",41,"M","Ds","rural","No","No","No"
"sv0015949",42,"M","Mu","rural","No","No","No"
"sv0015668",10,"M","Mu","rural","Yes","No","No"
"sv0000106",19,"M","Mu","rural","No","No","No"
"sv0001774",25,"F","Mu","rural","No","No","No"
"sv0003721",36,"M","Se","rural","No","No","No"
"sv0007994",40,"M","DM","rural","No","No","No"
"sv0003325",50,"M","Mu","rural","Yes","No","No"
"sv0002253",55,"M","Mu","rural","No","No","No"
"sv0011673",23,"M","Mu","urban","No","No","No"
"sv0015863",1,"M","Ds","urban","No","No","No"
"sv0013168",30,"M","Mu","urban","No","No","No"
"sv0006506",34,"F","Mu","rural","No","No","No"
"sv0012429",64,"F","Mu","rural","No","No","No"
"sv0006902",56,"M","Mu","urban","No","No","No"
"svv000077",33,"M","Mu","rural","No","No","No"
"sv0014326",35,"M","Se","rural","Yes","No","No"
"sv0005478",45,"M","Mu","rural","No","No","No"
"sv0005100",2,"M","DM","urban","No","No","No"
"sv0014923",36,"M","Se","rural","No","No","No"
"sv0000013",35,"M","Mu","rural","Yes","No","Yes"
"sv0009906",22,"F","Mu","rural","Yes","Yes","No"
"sv0005857",35,"M","Se","rural","No","No","No"
"sv0007788",37,"M","Mu","rural","Yes","No","No"
"sv0001295",33,"M","DM","rural","No","No","No"
"sv0020335",16,"M","Se","rural","No","No","No"
"sv0005637",83,"M","Mu","rural","Yes","No","No"
"sv0012450",42,"M","Ds","rural","No","No","No"
"sv0004766",21,"M","Mu","rural","No","No","Yes"
"sv0005067",25,"F","Mu","rural","Yes","No","No"
"sv0011701",25,"M","Mu","rural","No","No","No"
"sv0000335",45,"M","Se","rural","No","No","No"
"sv0002530",55,"M","Mu","rural","Yes","No","No"
"sv0013698",31,"M","Se","rural","No","No","No"
"sv0016917",14,"M","Ds","urban","No","No","No"
"sv0003794",26,"M","Mu","urban","No","No","No"
"sv0017579",16,"F","Ds","urban","No","No","No"
"sv0001680",45,"M","Se","rural","Yes","No","No"
"svv000013",9,"F","Mu","rural","Yes","Yes","No"
"sv0010450",30,"M","Se","rural","No","No","No"
"sv0000558",45,"M","Mu","rural","No","No","Yes"
"sv0011050",39,"M","Mu","rural","No","No","No"
"sv0005076",17,"M","Mu","rural","No","No","No"
"sv0008043",29,"M","Mu","urban","No","No","No"
"sv0013066",31,"M","Mu","rural","Yes","No","No"
"sv0000810",40,"M","Mu","urban","No","No","No"
"sv0050074",24,"M","Mu","rural","No","No","No"
"sv0013015",50,"M","Mu","rural","No","No","No"
"sv0004104",16,"M","Ds","rural","No","No","No"
"sv0007842",63,"F","Se","rural","No","No","No"
"sv0003623",8,"M","Mu","rural","No","No","No"
"sv0016263",25,"M","Ds","urban","No","No","No"
"sv0003309",35,"M","Mu","rural","No","No","No"
"sv0015847",26,"M","Se","rural","No","Yes","No"
"sv0007112",45,"M","Mu","rural","No","Yes","No"
"sv0003214",40,"M","Mu","rural","No","Yes","No"
"sv0017029",40,"M","Mu","rural","No","No","Yes"
"sv0012380",55,"M","Mu","rural","Yes","No","No"
"sv0017366",17,"M","Mu","rural","No","Yes","No"
"sv0011580",32,"F","Mu","rural","Yes","No","No"
"sv0010833",22,"M","Mu","urban","No","No","No"
"sv0016627",39,"M","Se","urban","No","No","No"
"sv0009696",41,"M","Se","rural","No","No","No"
"sv0013501",25,"M","Mu","rural","No","No","No"
"svv000175",15,"M","Mu","rural","No","No","No"
"sv0001835",7,"F","Mu","rural","No","No","No"
"sv0014342",18,"M","Mu","rural","Yes","Yes","No"
"sv0001645",44,"M","Mu","rural","Yes","No","No"
"sv0002906",61,"M","Ds","rural","No","No","No"
"sv0008341",14,"M","Mu","rural","No","No","No"
"sv0421818",39,"M","Se","rural","No","No","No"
"sv0017875",31,"M","Mu","rural","No","No","No"
"svv000246",56,"M","Mu","rural","No","No","No"
"sv0009160",55,"M","Mu","rural","Yes","Yes","No"
"svv000073",25,"M","Mu","rural","Yes","No","No"
"sv0009510",7,"F","To","rural","Yes","No","No"
"sv0015024",30,"M","Se","urban","No","No","No"
"sv0000054",33,"M","Mu","rural","No","No","No"
"sv0012659",15,"M","Ds","urban","No","No","No"
"sv0001332",18,"F","Se","rural","Yes","No","No"
"sv0012861",24,"M","Se","urban","No","No","No"
"sv0015834",43,"M","Mu","rural","No","No","Yes"
"sv0014641",42,"M","To","rural","Yes","No","No"
"sv0013841",20,"F","Mu","rural","No","No","No"
"sv0001714",32,"M","Mu","rural","No","No","No"
"sv0004445",60,"M","Mu","urban","No","No","No"
"sv0005725",14,"M","Se","rural","No","No","No"
"sv0017557",50,"M","Mu","rural","Yes","No","No"
"sv0005647",32,"M","Se","rural","No","No","No"
"sv0015310",36,"M","Se","rural","No","No","No"
"sv0014414",44,"M","Mu","rural","Yes","No","No"
"sv0001166",30,"M","Se","rural","No","No","No"
"sv0017596",31,"M","Mu","urban","No","No","No"
"sv0000397",45,"M","Mu","rural","Yes","No","No"
"sv0007912",44,"M","Mu","rural","No","No","No"
"sv0004127",25,"M","Mu","rural","No","No","No"
"sv0015178",28,"M","Mu","rural","No","No","No"
"sv0016249",35,"M","Mu","urban","No","No","No"
"sv0007955",70,"M","Mu","rural","Yes","Yes","No"
"sv0014961",40,"M","Se","rural","No","No","No"
"sv0017200",45,"M","Mu","rural","Yes","No","No"
"svv000033",40,"M","Mu","rural","No","No","No"
"sv0016700",50,"M","Ds","rural","No","No","No"
"sv0017920",28,"M","DM","rural","No","No","No"
"sv0009012",40,"M","Mu","rural","Yes","Yes","No"
"sv0017162",22,"F","Se","urban","No","No","No"
"sv0004134",3,"M","Mu","rural","Yes","Yes","No"
"sv0013764",14,"M","Ds","urban","No","No","No"
"sv0017094",28,"F","Mu","rural","No","No","No"
"sv0004685",75,"F","Mu","rural","No","Yes","No"
"sv0016415",35,"M","Mu","rural","Yes","No","No"
"sv0000597",32,"M","Mu","rural","Yes","No","No"
"sv0004667",30,"M","Mu","rural","Yes","No","No"
"sv0009881",50,"M","Mu","rural","No","Yes","No"
"sv0015194",22,"M","Mu","rural","No","No","No"
"sv0018386",20,"M","Mu","rural","No","No","No"
"sv0012114",28,"M","Mu","urban","No","No","No"
"sv0002841",45,"M","Mu","rural","No","No","Yes"
"sv0009829",35,"M","Se","rural","No","No","No"
"sv0011787",25,"M","Mu","urban","No","No","No"
"sv0015651",22,"M","To","rural","Yes","No","No"
"sv0003298",13,"F","Ds","urban","No","No","No"
"sv0000492",25,"F","Mu","urban","No","No","No"
"sv0013873",23,"M","Mu","urban","No","No","No"
"svv000030",20,"F","Mu","rural","Yes","No","No"
"sv0008849",4,"F","Mu","rural","Yes","Yes","No"
"sv0415929",37,"M","Se","rural","No","No","No"
"svv000072",52,"M","Mu","rural","Yes","No","No"
"sv0014190",75,"F","Mu","rural","No","Yes","No"
"sv0007504",19,"M","Se","urban","No","No","No"
"sv0015534",70,"F","To","rural","No","No","No"
"sv0011155",34,"M","Mu","rural","No","No","Yes"
"sv0008208",65,"M","Mu","rural","No","No","No"
"svv000253",29,"F","Mu","rural","No","No","No"
"sv0013194",15,"M","Ds","urban","No","No","No"
"sv0422381",38,"M","Se","rural","Yes","No","No"
"sv0011490",19,"F","Mu","rural","No","No","No"
"sv0011991",17,"F","Ds","urban","No","No","No"
"svv000166",11,"M","Mu","rural","No","No","No"
"sv0010791",40,"M","Ds","rural","No","No","No"
"sv0016617",24,"F","Mu","rural","No","No","No"
"sv0010993",26,"M","Se","urban","No","No","No"
"sv0004244",17,"M","Ds","rural","No","No","No"
"sv0007670",17,"M","Mu","rural","No","No","No"
"sv0018309",34,"M","Mu","rural","Yes","No","No"
"sv0002086",30,"M","Mu","rural","No","No","No"
"sv0006478",35,"M","Mu","rural","No","No","No"
"sv0007391",33,"M","Mu","rural","No","No","No"
"sv0009930",22,"M","Mu","rural","No","No","No"
"sv0006137",37,"M","Mu","rural","Yes","Yes","No"
"sv0002263",65,"F","Mu","rural","Yes","No","No"
"sv0013122",48,"M","Mu","rural","No","No","No"
"sv0009271",55,"F","HR","rural","No","No","No"
"sv0000039",22,"M","HR","urban","No","No","No"
"sv0014619",32,"M","Ds","rural","No","No","No"
"sv0008397",11,"F","Se","urban","No","No","No"
"sv0010136",34,"M","Mu","rural","No","No","No"
"sv0000128",20,"M","Mu","rural","Yes","No","No"
"sv0005226",66,"M","Mu","rural","No","No","No"
"sv0015745",8,"M","To","rural","No","No","No"
"sv0004476",45,"M","Mu","rural","No","No","No"
"sv0004725",31,"M","HR","urban","No","No","No"
"sv0004093",30,"F","Mu","rural","No","Yes","No"
"sv0006576",30,"M","Mu","rural","No","No","No"
"sv0008182",23,"M","Mu","urban","No","No","Yes"
"sv0016040",27,"M","Mu","urban","No","No","No"
"sv0016106",50,"M","Mu","rural","Yes","No","No"
"sv0009633",20,"M","Mu","urban","No","No","No"
"sv0013034",25,"M","Mu","rural","No","No","No"
"sv0004456",25,"M","DM","rural","No","No","No"
"sv0004507",41,"M","Mu","urban","No","No","No"
"sv0005448",40,"F","Mu","rural","No","No","No"
"sv0013908",33,"M","Se","rural","Yes","No","No"
"sv0015343",10,"M","Mu","rural","Yes","No","No"
"sv0013832",26,"M","Mu","rural","No","No","No"
"sv0008039",25,"M","Mu","rural","Yes","No","No"
"sv0018050",10,"F","Mu","rural","Yes","No","No"
"sv0003845",23,"M","Se","rural","No","No","No"
"sv0412444",21,"M","Ds","rural","No","No","No"
"sv0005078",22,"M","To","rural","No","No","No"
"sv0008677",28,"M","Mu","rural","Yes","No","No"
"sv0014538",41,"M","Mu","rural","Yes","Yes","Yes"
"sv0006208",19,"F","Ds","urban","No","No","No"
